Date,Close,Change,AVG
21/11/2017 15:30:00,55280.00,0.14,0.2
22/11/2017 15:30:00,55960.00,1.23,1.2
23/11/2017 16:45:00,55300.00,-1.18,-1.2
24/11/2017 15:30:00,55460.00,0.29,0.2
27/11/2017 15:30:00,52640.00,-5.08,-5
28/11/2017 15:30:00,53280.00,1.22,1.2
29/11/2017 15:30:00,52600.00,-1.28,-1.2
30/11/2017 15:30:00,50800.00,-3.42,-3.4
01/12/2017 15:30:00,50840.00,0.08,0
04/12/2017 15:30:00,51340.00,0.98,1
05/12/2017 15:30:00,51260.00,-0.16,-0.2
06/12/2017 15:30:00,50020.00,-2.42,-2.4
07/12/2017 15:30:00,50740.00,1.44,1.4
8/12/2017 15:30:00,52000.00,2.48,2.4
11/12/2017 15:30:00,51780.00,-0.42,-0.4
12/12/2017 15:30:00,52100.00,0.62,0.6
13/12/2017 15:30:00,51320.00,-1.5,-1.4
14/12/2017 15:30:00,51060.00,-0.51,-0.6
15/12/2017 15:30:00,50620.00,-0.86,-0.8
18/12/2017 15:30:00,51200.00,1.15,1.2
19/12/2017 15:30:00,51560.00,0.7,0.8
20/12/2017 15:30:00,50880.00,-1.32,-1.4
21/12/2017 15:30:00,49140.00,-3.42,-3.4
22/12/2017 15:30:00,49700.00,1.14,1.2
26/12/2017 15:30:00,48200.00,-3.02,-3
27/12/2017 15:30:00,49360.00,2.41,2.4
28/12/2017 15:30:00,50960.00,3.24,3.2
02/01/2018 15:30:00,51020.00,0.12,0.2
03/01/2018 15:30:00,51620.00,1.18,1.2
04/01/2018 15:30:00,51080.00,-1.05,-1
05/01/2018 15:30:00,52120.00,2.04,2
08/01/2018 15:30:00,52020.00,-0.19,-0.2
09/01/2018 15:30:00,50400.00,-3.11,-3.2
10/01/2018 15:30:00,48840.00,-3.1,-3
11/01/2018 15:30:00,48240.00,-1.23,-1.2
12/01/2018 15:30:00,48200.00,-0.08,0
15/01/2018 15:30:00,48540.00,0.71,0.8
16/01/2018 15:30:00,50000.00,3.01,3
17/01/2018 15:30:00,49620.00,-0.76,-0.8
18/01/2018 15:30:00,49900.00,0.56,0.6
19/01/2018 15:30:00,49320.00,-1.16,-1.2
22/01/2018 15:30:00,48240.00,-2.19,-2.2
23/01/2018 15:30:00,49160.00,1.91,2
24/01/2018 15:30:00,49340.00,0.37,0.4
25/01/2018 15:30:00,50260.00,1.86,1.8
26/01/2018 15:30:00,50780.00,1.03,1
29/01/2018 15:30:00,51220.00,0.87,0.8
30/01/2018 15:30:00,49800.00,-2.77,-2.8
31/01/2018 15:30:00,49900.00,0.2,0.2
01/02/2018 15:30:00,49820.00,-0.16,-0.2
02/02/2018 15:30:00,47700.00,-4.26,-4.2
05/02/2018 15:30:00,47920.00,0.46,0.4
06/02/2018 15:30:00,47420.00,-1.04,-1
07/02/2018 15:30:00,45800.00,-3.42,-3.4
08/02/2018 15:30:00,46000.00,0.44,0.4
09/02/2018 15:30:00,44700.00,-2.83,-2.8
12/02/2018 15:30:00,45720.00,2.28,2.2
13/02/2018 15:30:00,47540.00,3.98,4
14/02/2018 15:30:00,49000.00,3.07,3
19/02/2018 15:30:00,48380.00,-1.27,-1.2
20/02/2018 15:30:00,47400.00,-2.03,-2
21/02/2018 15:30:00,47280.00,-0.25,-0.2
22/02/2018 15:30:00,46760.00,-1.1,-1
23/02/2018 15:30:00,47220.00,0.98,1
26/02/2018 15:30:00,47380.00,0.34,0.4
27/02/2018 15:30:00,47380.00,0,0
28/02/2018 15:30:00,47060.00,-0.68,-0.6
02/03/2018 15:30:00,46020.00,-2.21,-2.2
05/03/2018 15:30:00,45200.00,-1.78,-1.8
06/03/2018 15:30:00,47020.00,4.03,4
07/03/2018 15:30:00,48620.00,3.4,3.4
08/03/2018 15:30:00,49200.00,1.19,1.2
09/03/2018 15:30:00,49740.00,1.1,1
12/03/2018 15:30:00,49740.00,0,0
13/03/2018 15:30:00,51660.00,3.86,3.8
14/03/2018 15:30:00,51760.00,0.19,0.2
15/03/2018 15:30:00,51540.00,-0.43,-0.4
16/03/2018 15:30:00,51140.00,-0.78,-0.8
19/03/2018 15:30:00,50740.00,-0.78,-0.8
20/03/2018 15:30:00,51200.00,0.91,1
21/03/2018 15:30:00,51060.00,-0.27,-0.2
22/03/2018 15:30:00,51780.00,1.41,1.4
23/03/2018 15:30:00,49720.00,-3.98,-4
26/03/2018 15:30:00,50280.00,1.13,1.2
27/03/2018 15:30:00,49980.00,-0.6,-0.6
28/03/2018 15:30:00,48700.00,-2.56,-2.6
29/03/2018 15:30:00,49040.00,0.7,0.6
30/03/2018 15:30:00,49220.00,0.37,0.4
02/04/2018 15:30:00,48540.00,-1.38,-1.4
03/04/2018 15:30:00,48120.00,-0.87,-0.8
04/04/2018 15:30:00,46920.00,-2.49,-2.4
05/04/2018 15:30:00,48740.00,3.88,3.8
06/04/2018 15:30:00,48400.00,-0.7,-0.6
09/04/2018 15:30:00,49200.00,1.65,1.6
10/04/2018 15:30:00,48880.00,-0.65,-0.6
11/04/2018 15:30:00,48860.00,-0.04,0
12/04/2018 15:30:00,49000.00,0.29,0.2
13/04/2018 15:30:00,49800.00,1.63,1.6
16/04/2018 15:30:00,50340.00,1.08,1
17/04/2018 15:30:00,49980.00,-0.72,-0.8
18/04/2018 15:30:00,51360.00,2.76,2.8
19/04/2018 15:30:00,52780.00,2.76,2.8
20/04/2018 15:30:00,51620.00,-2.2,-2.2
23/04/2018 15:30:00,51900.00,0.54,0.6
24/04/2018 15:30:00,50460.00,-2.77,-2.8
25/04/2018 15:30:00,50400.00,-0.12,-0.2
26/04/2018 15:30:00,52140.00,3.45,3.4
27/04/2018 15:30:00,53000.00,1.65,1.6
04/05/2018 15:30:00,51900.00,-2.08,-2
08/05/2018 15:30:00,52600.00,1.35,1.4
09/05/2018 15:30:00,50900.00,-3.23,-3.2
10/05/2018 15:30:00,51600.00,1.38,1.4
11/05/2018 15:30:00,51300.00,-0.58,-0.6
14/05/2018 15:30:00,50100.00,-2.34,-2.4
15/05/2018 15:30:00,49200.00,-1.8,-1.8
16/05/2018 15:30:00,49850.00,1.32,1.4
17/05/2018 15:30:00,49400.00,-0.9,-1
18/05/2018 15:30:00,49500.00,0.2,0.2
21/05/2018 15:30:00,50000.00,1.01,1
23/05/2018 15:30:00,51800.00,3.6,3.6
24/05/2018 15:30:00,51400.00,-0.77,-0.8
25/05/2018 15:30:00,52700.00,2.53,2.6
28/05/2018 15:30:00,52300.00,-0.76,-0.8
29/05/2018 15:30:00,51300.00,-1.91,-2
30/05/2018 15:30:00,49500.00,-3.51,-3.6
31/05/2018 15:30:00,50700.00,2.42,2.4
01/06/2018 15:30:00,51300.00,1.18,1.2
04/06/2018 15:30:00,51100.00,-0.39,-0.4
05/06/2018 15:30:00,51300.00,0.39,0.4
07/06/2018 15:30:00,50600.00,-1.36,-1.4
08/06/2018 15:30:00,49650.00,-1.88,-1.8
11/06/2018 15:30:00,49900.00,0.5,0.6
12/06/2018 15:30:00,49400.00,-1,-1
14/06/2018 15:30:00,48200.00,-2.43,-2.4
15/06/2018 15:30:00,47650.00,-1.14,-1.2
