Date,Close,Change,AVG
12/05/2017 17:26:00,5.64,0.71,0.8
15/05/2017 17:26:00,5.68,0.71,0.8
16/05/2017 17:26:00,5.64,-0.7,-0.8
17/05/2017 17:26:00,5.5,-2.48,-2.4
18/05/2017 17:26:00,5.47,-0.55,-0.6
19/05/2017 17:26:00,5.55,1.46,1.4
22/05/2017 17:26:00,5.44,-1.98,-2
23/05/2017 17:26:00,5.8,6.62,6.6
24/05/2017 17:26:00,5.72,-1.38,-1.4
25/05/2017 17:26:00,5.74,0.35,0.4
26/05/2017 17:26:00,5.76,0.35,0.4
29/05/2017 17:26:00,5.68,-1.39,-1.4
30/05/2017 17:26:00,5.65,-0.53,-0.6
31/05/2017 17:26:00,5.65,0,0
01/06/2017 17:26:00,5.79,2.48,2.4
02/06/2017 17:26:00,5.81,0.35,0.4
05/06/2017 17:26:00,5.73,-1.38,-1.4
06/06/2017 17:26:00,5.79,1.05,1
07/06/2017 17:26:00,5.83,0.69,0.6
08/06/2017 17:26:00,5.79,-0.69,-0.6
09/06/2017 17:26:00,5.81,0.35,0.4
12/06/2017 17:26:00,5.69,-2.07,-2
13/06/2017 17:26:00,5.72,0.53,0.6
14/06/2017 17:26:00,5.78,1.05,1
15/06/2017 17:26:00,5.69,-1.56,-1.6
16/06/2017 17:26:00,5.7,0.18,0.2
19/06/2017 17:26:00,5.79,1.58,1.6
20/06/2017 17:26:00,5.79,0,0
21/06/2017 17:26:00,5.75,-0.69,-0.6
22/06/2017 17:26:00,5.77,0.35,0.4
23/06/2017 17:26:00,5.7,-1.21,-1.2
26/06/2017 17:26:00,5.69,-0.18,-0.2
27/06/2017 17:26:00,5.59,-1.76,-1.8
28/06/2017 17:26:00,5.55,-0.72,-0.8
29/06/2017 17:26:00,5.44,-1.98,-2
30/06/2017 17:26:00,5.37,-1.29,-1.2
03/07/2017 17:26:00,5.45,1.49,1.4
04/07/2017 17:26:00,5.42,-0.55,-0.6
05/07/2017 17:26:00,5.48,1.11,1.2
06/07/2017 17:26:00,5.57,1.64,1.6
07/07/2017 17:26:00,5.5,-1.26,-1.2
10/07/2017 17:26:00,5.48,-0.36,-0.4
11/07/2017 17:26:00,5.42,-1.09,-1
12/07/2017 17:26:00,5.56,2.58,2.6
13/07/2017 17:26:00,5.53,-0.54,-0.6
14/07/2017 17:26:00,5.49,-0.72,-0.8
17/07/2017 17:26:00,5.5,0.18,0.2
18/07/2017 17:26:00,5.33,-3.09,-3
19/07/2017 17:26:00,5.4,1.31,1.4
20/07/2017 17:26:00,5.39,-0.19,-0.2
21/07/2017 17:26:00,5.34,-0.93,-1
24/07/2017 17:26:00,5.33,-0.19,-0.2
25/07/2017 17:26:00,5.27,-1.13,-1.2
26/07/2017 17:26:00,5.32,0.95,1
27/07/2017 17:26:00,5.47,2.82,2.8
28/07/2017 17:26:00,5.37,-1.83,-1.8
31/07/2017 17:26:00,5.39,0.37,0.4
01/08/2017 17:26:00,5.52,2.41,2.4
02/08/2017 17:26:00,5.53,0.18,0.2
03/08/2017 17:26:00,5.48,-0.9,-1
04/08/2017 17:26:00,5.55,1.28,1.2
07/08/2017 17:26:00,5.52,-0.54,-0.6
08/08/2017 17:26:00,5.5,-0.36,-0.4
09/08/2017 17:26:00,5.4,-1.82,-1.8
10/08/2017 17:26:00,5.36,-0.74,-0.8
11/08/2017 17:26:00,5.27,-1.68,-1.6
14/08/2017 17:26:00,5.36,1.71,1.8
16/08/2017 17:26:00,5.44,1.49,1.4
17/08/2017 17:26:00,5.39,-0.92,-1
18/08/2017 17:26:00,5.27,-2.23,-2.2
21/08/2017 17:26:00,5.21,-1.14,-1.2
22/08/2017 17:26:00,5.29,1.54,1.6
23/08/2017 17:26:00,5.25,-0.76,-0.8
24/08/2017 17:26:00,5.24,-0.19,-0.2
25/08/2017 17:26:00,5.25,0.19,0.2
28/08/2017 17:26:00,5.2,-0.95,-1
29/08/2017 17:26:00,5.1,-1.92,-2
30/08/2017 17:26:00,5.16,1.18,1.2
31/08/2017 17:26:00,5.19,0.58,0.6
01/09/2017 17:26:00,5.24,0.96,1
04/09/2017 17:26:00,5.19,-0.95,-1
05/09/2017 17:26:00,5.16,-0.58,-0.6
06/09/2017 17:26:00,5.15,-0.19,-0.2
07/09/2017 17:26:00,5.18,0.58,0.6
08/09/2017 17:26:00,4.99,-3.67,-3.6
11/09/2017 17:26:00,5.1,2.2,2.2
12/09/2017 17:26:00,5.14,0.78,0.8
13/09/2017 17:26:00,5.07,-1.36,-1.4
14/09/2017 17:26:00,5.07,0,0
15/09/2017 17:26:00,5.22,2.96,3
18/09/2017 17:26:00,5.25,0.57,0.6
19/09/2017 17:26:00,5.23,-0.38,-0.4
20/09/2017 17:26:00,5.2,-0.57,-0.6
21/09/2017 17:26:00,5.13,-1.35,-1.4
22/09/2017 17:26:00,5.06,-1.36,-1.4
25/09/2017 17:26:00,5.05,-0.2,-0.2
26/09/2017 17:26:00,5.05,0,0
27/09/2017 17:26:00,5,-0.99,-1
28/09/2017 17:26:00,5.03,0.6,0.6
29/09/2017 17:26:00,5.07,0.8,0.8
02/10/2017 17:26:00,5.1,0.59,0.6
03/10/2017 17:26:00,5.11,0.2,0.2
04/10/2017 17:26:00,5.05,-1.17,-1.2
05/10/2017 17:26:00,5.07,0.4,0.4
06/10/2017 17:26:00,5.06,-0.2,-0.2
9/10/2017 17:26:00,5.06,0,0
10/10/2017 17:26:00,5.03,-0.59,-0.6
11/10/2017 17:26:00,4.97,-1.19,-1.2
12/10/2017 17:26:00,4.93,-0.8,-0.8
13/10/2017 17:26:00,5.01,1.62,1.6
16/10/2017 17:26:00,5,-0.2,-0.2
17/10/2017 17:26:00,5,0,0
18/10/2017 17:26:00,4.99,-0.2,-0.2
19/10/2017 17:26:00,4.96,-0.6,-0.6
20/10/2017 17:26:00,5.17,4.23,4.2
23/10/2017 17:26:00,5.2,0.58,0.6
24/10/2017 17:26:00,5.13,-1.35,-1.4
25/10/2017 17:26:00,5.06,-1.36,-1.4
26/10/2017 17:26:00,4.18,-17.39,-17.4
27/10/2017 17:26:00,4.21,0.72,0.8
30/10/2017 17:26:00,4.17,-0.95,-1
31/10/2017 17:26:00,4.22,1.2,1.2
01/11/2017 17:26:00,4.29,1.66,1.6
02/11/2017 17:26:00,4.34,1.17,1.2
03/11/2017 17:26:00,4.32,-0.46,-0.4
06/11/2017 17:26:00,4.44,2.78,2.8
07/11/2017 17:26:00,4.35,-2.03,-2
08/11/2017 17:26:00,4.35,0,0
9/11/2017 17:26:00,4.28,-1.61,-1.6
10/11/2017 17:26:00,4.23,-1.17,-1.2
13/11/2017 17:26:00,4.2,-0.71,-0.8
14/11/2017 17:26:00,4.09,-2.62,-2.6
15/11/2017 17:26:00,4.1,0.24,0.2
16/11/2017 17:26:00,4.18,1.95,2
17/11/2017 17:26:00,4.22,0.96,1
20/11/2017 17:26:00,4.29,1.66,1.6
21/11/2017 17:26:00,4.31,0.47,0.4
22/11/2017 17:26:00,4.28,-0.7,-0.6
23/11/2017 17:26:00,4.23,-1.17,-1.2
24/11/2017 17:26:00,4.26,0.71,0.8
27/11/2017 17:26:00,4.2,-1.41,-1.4
28/11/2017 17:26:00,4.22,0.48,0.4
29/11/2017 17:26:00,4.22,0,0
30/11/2017 17:26:00,4.18,-0.95,-1
01/12/2017 17:26:00,4.12,-1.44,-1.4
04/12/2017 17:26:00,4,-2.91,-3
05/12/2017 17:26:00,4.02,0.5,0.4
06/12/2017 17:26:00,4.02,0,0
07/12/2017 17:26:00,3.93,-2.24,-2.2
8/12/2017 17:26:00,3.92,-0.25,-0.2
11/12/2017 17:26:00,3.9,-0.51,-0.6
12/12/2017 17:26:00,3.88,-0.51,-0.6
13/12/2017 17:26:00,3.95,1.8,1.8
14/12/2017 17:26:00,3.9,-1.27,-1.2
15/12/2017 17:26:00,3.89,-0.26,-0.2
18/12/2017 17:26:00,3.99,2.57,2.6
19/12/2017 17:26:00,4,0.25,0.2
20/12/2017 17:26:00,3.87,-3.25,-3.2
21/12/2017 17:26:00,4.02,3.88,3.8
