Date,Close,Change,AVG
31/03/2017 16:00:00,65.86,0.23,0.2
03/04/2017 16:00:00,65.55,-0.47,-0.4
04/04/2017 16:00:00,65.73,0.27,0.2
05/04/2017 16:00:00,65.56,-0.26,-0.2
06/04/2017 16:00:00,65.73,0.26,0.2
07/04/2017 16:00:00,65.68,-0.08,0
10/04/2017 16:00:00,65.53,-0.23,-0.2
11/04/2017 16:00:00,65.48,-0.08,0
12/04/2017 16:00:00,65.23,-0.38,-0.4
13/04/2017 16:00:00,64.95,-0.43,-0.4
17/04/2017 16:00:00,65.48,0.82,0.8
18/04/2017 16:00:00,65.39,-0.14,-0.2
19/04/2017 16:00:00,65.04,-0.54,-0.6
20/04/2017 16:00:00,65.5,0.71,0.8
21/04/2017 16:00:00,66.4,1.37,1.4
24/04/2017 16:00:00,67.53,1.7,1.8
25/04/2017 16:00:00,67.92,0.58,0.6
26/04/2017 16:00:00,67.83,-0.13,-0.2
27/04/2017 16:00:00,68.27,0.65,0.6
28/04/2017 16:00:00,68.46,0.28,0.2
01/05/2017 16:00:00,69.41,1.39,1.4
02/05/2017 16:00:00,69.3,-0.16,-0.2
03/05/2017 16:00:00,69.08,-0.32,-0.4
04/05/2017 16:00:00,68.81,-0.39,-0.4
05/05/2017 16:00:00,69,0.28,0.2
08/05/2017 16:00:00,68.94,-0.09,0
09/05/2017 16:00:00,69.04,0.15,0.2
10/05/2017 16:00:00,69.31,0.39,0.4
11/05/2017 16:00:00,68.46,-1.23,-1.2
12/05/2017 16:00:00,68.38,-0.12,-0.2
15/05/2017 16:00:00,68.43,0.07,0
16/05/2017 16:00:00,69.41,1.43,1.4
17/05/2017 16:00:00,67.48,-2.78,-2.8
18/05/2017 16:00:00,67.71,0.34,0.4
19/05/2017 16:00:00,67.69,-0.03,0
22/05/2017 16:00:00,68.45,1.12,1.2
23/05/2017 16:00:00,68.68,0.34,0.4
24/05/2017 16:00:00,68.77,0.13,0.2
25/05/2017 16:00:00,69.62,1.24,1.2
26/05/2017 16:00:00,69.96,0.49,0.4
30/05/2017 16:00:00,70.41,0.64,0.6
31/05/2017 16:00:00,69.84,-0.81,-0.8
01/06/2017 16:00:00,70.1,0.37,0.4
02/06/2017 16:00:00,71.76,2.37,2.4
05/06/2017 16:00:00,72.28,0.72,0.8
06/06/2017 16:00:00,72.52,0.33,0.4
07/06/2017 16:00:00,72.39,-0.18,-0.2
08/06/2017 16:00:00,71.95,-0.61,-0.6
09/06/2017 16:00:00,70.32,-2.27,-2.2
12/06/2017 16:00:00,69.78,-0.77,-0.8
13/06/2017 16:00:00,70.65,1.25,1.2
14/06/2017 16:00:00,70.27,-0.54,-0.6
15/06/2017 16:00:00,69.9,-0.53,-0.6
16/06/2017 16:00:00,70,0.14,0.2
19/06/2017 16:00:00,70.87,1.24,1.2
20/06/2017 16:00:00,69.91,-1.35,-1.4
21/06/2017 16:00:00,70.27,0.51,0.6
22/06/2017 16:00:00,70.26,-0.01,0
23/06/2017 16:00:00,71.21,1.35,1.4
26/06/2017 16:00:00,70.53,-0.95,-1
27/06/2017 16:00:00,69.21,-1.87,-1.8
28/06/2017 16:00:00,69.8,0.85,0.8
29/06/2017 16:00:00,68.49,-1.88,-1.8
30/06/2017 16:00:00,68.93,0.64,0.6
03/07/2017 16:00:00,68.17,-1.1,-1.2
05/07/2017 16:00:00,69.08,1.33,1.4
06/07/2017 16:00:00,68.57,-0.74,-0.8
07/07/2017 16:00:00,69.46,1.3,1.2
10/07/2017 16:00:00,69.98,0.75,0.8
11/07/2017 16:00:00,69.99,0.01,0
12/07/2017 16:00:00,71.15,1.66,1.6
13/07/2017 16:00:00,71.77,0.87,0.8
14/07/2017 16:00:00,72.78,1.41,1.4
17/07/2017 16:00:00,73.35,0.78,0.8
18/07/2017 16:00:00,73.3,-0.07,0
19/07/2017 16:00:00,73.86,0.76,0.8
20/07/2017 16:00:00,74.22,0.49,0.4
21/07/2017 16:00:00,73.79,-0.58,-0.6
24/07/2017 16:00:00,73.6,-0.26,-0.2
25/07/2017 16:00:00,74.19,0.8,0.8
26/07/2017 16:00:00,74.05,-0.19,-0.2
27/07/2017 16:00:00,73.16,-1.2,-1.2
28/07/2017 16:00:00,73.04,-0.16,-0.2
31/07/2017 16:00:00,72.7,-0.47,-0.4
01/08/2017 16:00:00,72.58,-0.17,-0.2
02/08/2017 16:00:00,72.26,-0.44,-0.4
03/08/2017 16:00:00,72.15,-0.15,-0.2
04/08/2017 16:00:00,72.68,0.73,0.8
07/08/2017 16:00:00,72.4,-0.39,-0.4
08/08/2017 16:00:00,72.79,0.54,0.6
09/08/2017 16:00:00,72.47,-0.44,-0.4
10/08/2017 16:00:00,71.41,-1.46,-1.4
11/08/2017 16:00:00,72.5,1.53,1.6
14/08/2017 16:00:00,73.59,1.5,1.6
15/08/2017 16:00:00,73.22,-0.5,-0.6
16/08/2017 16:00:00,73.65,0.59,0.6
17/08/2017 16:00:00,72.4,-1.7,-1.6
18/08/2017 16:00:00,72.49,0.12,0.2
21/08/2017 16:00:00,72.15,-0.47,-0.4
22/08/2017 16:00:00,73.16,1.4,1.4
23/08/2017 16:00:00,72.72,-0.6,-0.6
24/08/2017 16:00:00,72.69,-0.04,0
25/08/2017 16:00:00,72.82,0.18,0.2
28/08/2017 16:00:00,72.83,0.01,0
29/08/2017 16:00:00,73.05,0.3,0.4
30/08/2017 16:00:00,74.01,1.31,1.4
31/08/2017 16:00:00,74.77,1.03,1
01/09/2017 16:00:00,73.94,-1.11,-1.2
05/09/2017 16:00:00,73.61,-0.45,-0.4
06/09/2017 16:00:00,73.4,-0.29,-0.2
07/09/2017 16:00:00,74.34,1.28,1.2
08/09/2017 16:00:00,73.98,-0.48,-0.4
11/09/2017 16:00:00,74.76,1.05,1
12/09/2017 16:00:00,74.68,-0.11,-0.2
13/09/2017 16:00:00,75.21,0.71,0.8
14/09/2017 16:00:00,74.77,-0.59,-0.6
15/09/2017 16:00:00,75.31,0.72,0.8
18/09/2017 16:00:00,75.16,-0.2,-0.2
19/09/2017 16:00:00,75.44,0.37,0.4
20/09/2017 16:00:00,74.94,-0.66,-0.6
21/09/2017 16:00:00,74.21,-0.97,-1
22/09/2017 16:00:00,74.41,0.27,0.2
25/09/2017 16:00:00,73.26,-1.55,-1.6
26/09/2017 16:00:00,73.26,0,0
27/09/2017 16:00:00,73.85,0.81,0.8
28/09/2017 16:00:00,73.87,0.03,0
29/09/2017 16:00:00,74.49,0.84,0.8
02/10/2017 16:00:00,74.61,0.16,0.2
03/10/2017 16:00:00,74.26,-0.47,-0.4
04/10/2017 16:00:00,74.69,0.58,0.6
05/10/2017 16:00:00,75.97,1.71,1.8
06/10/2017 16:00:00,76,0.04,0
09/10/2017 16:00:00,76.29,0.38,0.4
10/10/2017 16:00:00,76.29,0,0
11/10/2017 16:00:00,76.42,0.17,0.2
12/10/2017 16:00:00,77.12,0.92,1
13/10/2017 16:00:00,77.49,0.48,0.4
16/10/2017 16:00:00,77.65,0.21,0.2
17/10/2017 16:00:00,77.59,-0.08,0
18/10/2017 16:00:00,77.61,0.03,0
19/10/2017 16:00:00,77.91,0.39,0.4
20/10/2017 16:00:00,78.81,1.16,1.2
23/10/2017 16:00:00,78.83,0.03,0
24/10/2017 16:00:00,78.86,0.04,0
25/10/2017 16:00:00,78.63,-0.29,-0.2
26/10/2017 16:00:00,78.76,0.17,0.2
27/10/2017 16:00:00,83.81,6.41,6.4
30/10/2017 16:00:00,83.89,0.1,0
31/10/2017 16:00:00,83.18,-0.85,-0.8
01/11/2017 16:00:00,83.18,0,0
02/11/2017 16:00:00,84.05,1.05,1
03/11/2017 16:00:00,84.14,0.11,0.2
06/11/2017 16:00:00,84.47,0.39,0.4
07/11/2017 16:00:00,84.27,-0.24,-0.2
08/11/2017 16:00:00,84.56,0.34,0.4
09/11/2017 16:00:00,84.09,-0.56,-0.6
10/11/2017 16:00:00,83.87,-0.26,-0.2
13/11/2017 16:00:00,83.93,0.07,0
14/11/2017 16:00:00,84.05,0.14,0.2
15/11/2017 16:00:00,82.98,-1.27,-1.2
16/11/2017 16:00:00,83.2,0.27,0.2
17/11/2017 16:00:00,82.4,-0.96,-1
